split_type,split,model,n,rmse,mae,r2,spearman_r,spearman_p
scaffold,train,RandomForest,2586,0.30269747782651696,0.21154703470997507,0.9699356375405482,0.986582236390713,0.0
scaffold,valid,RandomForest,554,0.9932270083776368,0.7609250296351252,0.6266184984051393,0.7937481516116606,2.770787117213627e-121
scaffold,test,RandomForest,555,0.9745341102523478,0.7297682668041667,0.6604498631628287,0.8121745982357563,1.6058716053500882e-131
scaffold,train,XGBoost,2586,0.48674226462198866,0.37204110622406006,0.9222621321678162,0.9618162532878939,0.0
scaffold,valid,XGBoost,554,1.0271648062580259,0.7831835746765137,0.6006662845611572,0.7763155348408322,1.0168548686250102e-112
scaffold,test,XGBoost,555,1.0218323794934818,0.7419139742851257,0.6266904473304749,0.7949284685050491,4.125441280986907e-122
scaffold,train,LightGBM,2586,0.46864949678786105,0.3475587322508825,0.9279339524025276,0.963207596224307,0.0
scaffold,valid,LightGBM,554,1.023433738948684,0.7710777436395588,0.6035620545650093,0.7798025895748372,2.2755210613285407e-114
scaffold,test,LightGBM,555,0.9838295202530672,0.72259885397213,0.6539415010865863,0.8089670163820191,1.0667767380761887e-129
random,train,RandomForest,2586,0.3259011495006961,0.23227685085775512,0.9636971252592573,0.9850393854647925,0.0
random,valid,RandomForest,554,0.7335193674108736,0.5648441240705568,0.8158967671817527,0.9066859928424533,4.3204378889211423e-209
random,test,RandomForest,555,0.7775227274907607,0.5759492452719663,0.8036283367043695,0.8976112036813702,6.858103880667033e-199
random,train,XGBoost,2586,0.534631625120379,0.4114174544811249,0.9023035764694214,0.9529558321235078,0.0
random,valid,XGBoost,554,0.7612034154835388,0.5823754072189331,0.801737904548645,0.8966642774253665,1.7236693259915916e-197
random,test,XGBoost,555,0.7870692770614753,0.5998488068580627,0.7987765669822693,0.8935955975274191,1.5969528148630835e-194
random,train,LightGBM,2586,0.49530645389090683,0.370067905647732,0.9161472700186601,0.9574923467779181,0.0
random,valid,LightGBM,554,0.7400802932997915,0.5519292727823032,0.8125886347326651,0.9022005573450694,9.613303418803781e-204
random,test,LightGBM,555,0.7489965917881978,0.5599880341837883,0.8177731715936297,0.9026836388121908,1.12958542300138e-204
