arm,round,n_labeled,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std
random,0,259,5,1.200303640643856,0.02497055429448123,0.9491376169932038,0.027927796342278297,0.48472104350236106,0.021514243891606704,0.7071796626455639,0.021431302940456393
random,1,309,5,1.171084109953974,0.0168806578089116,0.9198476357990932,0.022084620938823817,0.5095912834054591,0.014166127424400928,0.7268016487631994,0.014443610049767323
random,2,359,5,1.1547722937021276,0.010359505314077309,0.9021228448608138,0.011394921638514183,0.523206318301688,0.008571112784259897,0.7346612042175658,0.010587395391028757
random,3,409,5,1.1372449035480847,0.02510078097218247,0.8837465116032719,0.021595436449673384,0.5374197988520786,0.020365958535721977,0.7427728811967678,0.012316258434887147
random,4,459,5,1.1203808928753438,0.011083065450891676,0.8677857612713666,0.013958637422284264,0.5511768957504012,0.008885829826494445,0.74878936662692,0.006768048548040882
random,5,509,5,1.1163925774832584,0.005078796225553589,0.861606625277014,0.012468792009842146,0.5543941419345411,0.004061048198520893,0.7478264766529816,0.002944380157081018
random,6,559,5,1.1091979465352537,0.006360857000640987,0.8535735018850288,0.01085407955607857,0.5601147903604902,0.005049928209756394,0.7488954613547948,0.009136311388758369
random,7,609,5,1.0989070878359855,0.014385887795087144,0.8455524554571034,0.015558204569854534,0.5681913800052056,0.011294554105852901,0.7555780551897674,0.009597599771945672
random,8,659,5,1.095374931774673,0.011502598741809807,0.8389309150011499,0.01223490042763275,0.5709837657228418,0.009024188297089786,0.7564985358981066,0.009339241780328678
random,9,709,5,1.0876453713500769,0.01521077555128793,0.8340304542585706,0.015025160809063586,0.576988281074981,0.011797406462943569,0.7605915479037495,0.008956627569986334
random,10,759,5,1.0792805014281766,0.014185985374931579,0.8264883874306275,0.018991471666890414,0.5834774655706589,0.010953358174838775,0.7654030234803932,0.005398331960695473
random,11,809,5,1.0724789957203766,0.010340961448448201,0.8183928399680029,0.014948899989214346,0.5887369318980804,0.00794163098144315,0.7700073619304703,0.006362240109512422
random,12,859,5,1.0637253170719556,0.011990265412848698,0.8113053079624578,0.012089206225365613,0.5954120408018031,0.009100936045435857,0.7742260680993682,0.007805577998677491
random,13,909,5,1.0615018724956566,0.01695091772816047,0.8074212378673167,0.01578265658907015,0.5970604124237331,0.012967318240919063,0.7742899605711783,0.0019364643737121835
random,14,959,5,1.0565382718586354,0.015805502303185347,0.8016185970790124,0.014106668538958363,0.6008298713765658,0.012028026319563944,0.7760546469675836,0.0030443937710033938
random,15,1009,5,1.0559072907954838,0.01334295613539313,0.7995878055752345,0.014929615858718801,0.6013269553978118,0.010138258280176188,0.7769282075812912,0.002256452617309118
random,16,1059,5,1.0460528886258227,0.01769710554728293,0.792538867215244,0.01410948225790725,0.6086939725578151,0.01333145680495608,0.7801146223288855,0.004624620868141426
random,17,1109,5,1.038588525616023,0.011633290066710463,0.783889197076743,0.013462653596687253,0.6143081614134133,0.008672730902464296,0.7843491099605066,0.0025819606528922723
random,18,1159,5,1.0364440185658526,0.015811576522453605,0.7837045561346336,0.015279945603415172,0.6158663333321339,0.011825609273424867,0.7857396294563956,0.004134041289316158
random,19,1209,5,1.0301017786271391,0.01648240213898294,0.7798056965572455,0.014712722830838498,0.6205460856768502,0.01215955366202114,0.7882796754367903,0.006117147671622498
random,20,1259,5,1.0280536165038339,0.013370925134886366,0.7748194947244308,0.013303204657712028,0.6220797892394836,0.009840459377997076,0.7897262195305754,0.004847179576512069
uncertainty,0,259,5,1.200303640643856,0.024970554294481157,0.9491376169932038,0.027927796342278252,0.48472104350236106,0.02151424389160667,0.7071796626455639,0.021431302940456393
uncertainty,1,309,5,1.1723119713256036,0.026910882274545363,0.9234892665825901,0.02655050182520389,0.5084369131126873,0.022645461899835597,0.7242614874146845,0.018635220137096526
uncertainty,2,359,5,1.1469692246631893,0.02486538746526531,0.897051742071041,0.021704574446951053,0.529481601062286,0.020457461968931546,0.7395735906694324,0.014635688636244556
uncertainty,3,409,5,1.1285484823383158,0.023372581235162858,0.879107322692467,0.022066766041539863,0.544488592232246,0.01909517568302289,0.7490511113235729,0.015504641296668554
uncertainty,4,459,5,1.1080616197103033,0.023405296080981745,0.859314357896865,0.016810421328494234,0.5608704802947271,0.018539246762512503,0.7573004920327547,0.015941541910797198
uncertainty,5,509,5,1.0863868130858596,0.02923347605485069,0.8379438509677613,0.01845416735195428,0.5777882722121557,0.02270905654525957,0.7693385826035971,0.014160921496441662
uncertainty,6,559,5,1.0706178181521644,0.028086168941353854,0.826106399600498,0.01550569592121752,0.5899679594006235,0.021643526489694562,0.7787409615118565,0.01289052708391401
uncertainty,7,609,5,1.0542656137472695,0.01570045075492435,0.8107437903051972,0.01151206010816689,0.6025459273810256,0.011800298742847841,0.7815565303052346,0.009025527944058242
uncertainty,8,659,5,1.0357849926991483,0.004033704813879798,0.7946008963635192,0.005870168095169288,0.6164214455372086,0.0029906658028770656,0.7893775595048946,0.003715284342085079
uncertainty,9,709,5,1.0318269474917323,0.007154584880737532,0.7877493338707378,0.00463610189543407,0.619337359239834,0.005270784861352754,0.790694507927739,0.005993617147066165
uncertainty,10,759,5,1.0259909728954397,0.007431838326374877,0.7848968438667454,0.007142306529933694,0.6236298873113558,0.005467493973439522,0.7930058841232609,0.004850930267100749
uncertainty,11,809,5,1.0259766476439913,0.005500438951864246,0.7850200472031972,0.005361826984595192,0.6236475409137572,0.004040306955047079,0.7912322795077485,0.004537303263496417
uncertainty,12,859,5,1.018832552985158,0.01297092784057601,0.7776565172737839,0.009782673142438438,0.62883094982128,0.009426362630911699,0.7953711084644602,0.006368626361130124
uncertainty,13,909,5,1.009343422656685,0.013692193848832327,0.7689229577911022,0.009090247169369167,0.6357062957115852,0.00986603484794237,0.8010565883036561,0.006034604768645335
uncertainty,14,959,5,1.0040947904191504,0.01502713814605039,0.7646687095334433,0.009707149895598698,0.6394736111314618,0.01070211329815733,0.80214274629811,0.007227292571764378
uncertainty,15,1009,5,1.001201093956891,0.01342410594864898,0.7605606313090449,0.011277679300484721,0.6415612889865658,0.009572101883187753,0.8022673413270137,0.006554266199089425
uncertainty,16,1059,5,1.0042592208119643,0.013924929621705122,0.7615979738298713,0.011586429923333934,0.6393646704554963,0.009935231460652151,0.800432560232586,0.00559022018396073
uncertainty,17,1109,5,1.000887551910995,0.012457251971764062,0.7601020922776434,0.010799929575071102,0.6417928803973254,0.008911639743873429,0.8034892996181154,0.005665088937510297
uncertainty,18,1159,5,0.9998370542178712,0.015153250727392535,0.7594708326196968,0.011591167980870141,0.6425230259217155,0.010864369409208015,0.8034292553561807,0.007147941635177536
uncertainty,19,1209,5,0.9963310693197437,0.014816866952844133,0.7546928570336107,0.01206353134047667,0.6450280803933687,0.010551048759387591,0.8039330798892784,0.006411435160727099
uncertainty,20,1259,5,0.9964055893388538,0.012483151439739899,0.7531639060552007,0.01124752209044891,0.6449932105663106,0.008906084998092754,0.8052595313241767,0.005509377025807959
